chunk_size,chunk_overlap,event_id,user_id,k,mmr_lambda,faithfulness,relevancy
128,32,1,1,10,0.5,0.08333333333333333,0.5822658821045317
128,32,1,2,10,0.5,0.03333333333333333,0.3609059389879251
128,32,1,3,10,0.5,0.55,0.43240878676519595
128,32,1,4,10,0.5,0.13666666666666666,0.5044397724955246
128,32,1,5,10,0.5,0.125,0.3582130598756504
128,32,1,7,10,0.5,0.05,0.44087503256133276
128,32,1,8,10,0.5,0.0,0.5837247431693464
128,32,1,9,10,0.5,0.0,0.5716111847040287
128,32,1,10,10,0.5,0.065,0.6423616067907885
128,32,1,11,10,0.5,0.025,0.3643561702148585
128,32,1,1,15,0.5,0.016666666666666666,0.5441164214024755
128,32,1,2,15,0.5,0.04444444444444444,0.24093027245158025
128,32,1,3,15,0.5,0.36666666666666664,0.1987135284800172
128,32,1,4,15,0.5,0.3,0.14622937396872213
128,32,1,5,15,0.5,0.020833333333333332,0.4993024564861437
128,32,1,7,15,0.5,0.05555555555555555,0.2447931732238695
128,32,1,8,15,0.5,0.03888888888888888,0.5448923439964263
128,32,1,9,15,0.5,0.07222222222222222,0.6397211306435931
128,32,1,10,15,0.5,0.1111111111111111,0.528956419921773
128,32,1,11,15,0.5,0.1222222222222222,0.4923086219212633
128,32,1,1,20,0.5,0.016666666666666666,0.4820157031923359
128,32,1,2,20,0.5,0.095,0.18281590101307815
128,32,1,3,20,0.5,0.2857142857142857,0.24679404322298526
128,32,1,4,20,0.5,0.21428571428571427,0.41921063139985837
128,32,1,5,20,0.5,0.05,0.2891633114444906
128,32,1,7,20,0.5,0.06349206349206349,0.4119151143872625
128,32,1,8,20,0.5,0.03333333333333333,0.4056312435723964
128,32,1,9,20,0.5,0.13083333333333333,0.6940937001784844
128,32,1,10,20,0.5,0.03333333333333333,0.5379270896111048
128,32,1,11,20,0.5,0.0125,0.5187554103938057
128,64,1,1,10,0.5,0.03333333333333333,0.6547607528926045
128,64,1,2,10,0.5,0.11666666666666665,0.4942704160887497
128,64,1,3,10,0.5,0.5833333333333333,0.2932884045462567
128,64,1,4,10,0.5,0.2833333333333333,0.14062964275950648
128,64,1,5,10,0.5,0.075,0.4367946638865134
128,64,1,7,10,0.5,0.15833333333333333,0.515200688858305
128,64,1,8,10,0.5,0.0,0.7400946422931433
128,64,1,9,10,0.5,0.1,0.6570305938736508
128,64,1,10,10,0.5,0.09166666666666665,0.4896643568226485
128,64,1,11,10,0.5,0.15,0.5823373546912877
128,64,1,1,15,0.5,0.0,0.4890894950060671
128,64,1,2,15,0.5,0.1522222222222222,0.55760696747113
128,64,1,3,15,0.5,0.26666666666666666,0.3004174826992344
128,64,1,4,15,0.5,0.3444444444444444,0.1004453479006379
128,64,1,5,15,0.5,0.02222222222222222,0.6359188770159143
128,64,1,7,15,0.5,0.05555555555555555,0.3369933418055609
128,64,1,8,15,0.5,0.03333333333333333,0.6401746725203841
128,64,1,9,15,0.5,0.03333333333333333,0.7353700667998837
128,64,1,10,15,0.5,0.12777777777777774,0.527210286987507
128,64,1,11,15,0.5,0.016666666666666666,0.5949707163171023
128,64,1,1,20,0.5,0.041666666666666664,0.6229085888302283
128,64,1,2,20,0.5,0.11111111111111109,0.4245961075653455
128,64,1,3,20,0.5,0.46825396825396826,0.06793899257357622
128,64,1,4,20,0.5,0.3571428571428571,0.06796849919686088
128,64,1,5,20,0.5,0.03571428571428571,0.30989986183111107
128,64,1,7,20,0.5,0.06746031746031746,0.590004805045978
128,64,1,8,20,0.5,0.016666666666666666,0.7380571304460104
128,64,1,9,20,0.5,0.06999999999999999,0.7403443435715947
128,64,1,10,20,0.5,0.09166666666666666,0.5399887978817363
128,64,1,11,20,0.5,0.05166666666666666,0.6312138326721282
128,96,1,1,10,0.5,0.06666666666666667,0.6938895746069376
128,96,1,2,10,0.5,0.175,0.4840049510188358
128,96,1,3,10,0.5,0.075,0.6340507171970546
128,96,1,4,10,0.5,0.08333333333333333,0.36875698304115345
128,96,1,5,10,0.5,0.2333333333333333,0.7130248865072063
128,96,1,7,10,0.5,0.1,0.7215168182254257
128,96,1,8,10,0.5,0.03333333333333333,0.6538783225926739
128,96,1,9,10,0.5,0.05333333333333333,0.6501105230155135
128,96,1,10,10,0.5,0.1,0.7091503203703611
128,96,1,11,10,0.5,0.21666666666666665,0.5033702149772934
128,96,1,1,15,0.5,0.03333333333333333,0.5155603603729025
128,96,1,2,15,0.5,0.02222222222222222,0.3793547956536992
128,96,1,3,15,0.5,0.13888888888888887,0.6815975773393806
128,96,1,4,15,0.5,0.09444444444444443,0.4439954061155751
128,96,1,5,15,0.5,0.0,0.4312982112059476
128,96,1,7,15,0.5,0.1522222222222222,0.5008222971549366
128,96,1,8,15,0.5,0.02222222222222222,0.6940599970134843
128,96,1,9,15,0.5,0.06666666666666667,0.537641591157863
128,96,1,10,15,0.5,0.06666666666666667,0.7216921012464794
128,96,1,11,15,0.5,0.17222222222222222,0.47550075803854125
128,96,1,1,20,0.5,0.0,0.6850279146699814
128,96,1,2,20,0.5,0.16666666666666669,0.3146807258493853
128,96,1,3,20,0.5,0.09523809523809523,0.5744832523572144
128,96,1,4,20,0.5,0.1285714285714286,0.6656684860325651
128,96,1,5,20,0.5,0.03571428571428571,0.34609543341158966
128,96,1,7,20,0.5,0.11904761904761904,0.6870809739030994
128,96,1,8,20,0.5,0.025,0.5844774313718532
128,96,1,9,20,0.5,0.029166666666666664,0.5928794551338185
128,96,1,10,20,0.5,0.029166666666666664,0.6133757663725302
128,96,1,11,20,0.5,0.15416666666666667,0.46711274959175497
256,32,1,1,10,0.5,0.025,0.44268199433919053
256,32,1,2,10,0.5,0.12666666666666665,0.5781499037756019
256,32,1,3,10,0.5,0.2333333333333333,0.2096537297349761
256,32,1,4,10,0.5,0.16666666666666666,0.4293401569307845
256,32,1,5,10,0.5,0.09166666666666665,0.2873410037485661
